radius,pressure,mass,density,energy
0.00000000e+00,5.21783679e+33,0.00000000e+00,5.00000000e+17,5.96324205e+15
1.38600000e+01,5.21782558e+33,5.94580252e+21,4.99999609e+17,5.96323389e+15
2.77200000e+01,5.21779193e+33,4.75663460e+22,4.99998437e+17,5.96320942e+15
4.15800000e+01,5.21773585e+33,1.60536000e+23,4.99996483e+17,5.96316864e+15
5.54400000e+01,5.21765734e+33,3.80528394e+23,4.99993747e+17,5.96311154e+15
6.93000000e+01,5.21755640e+33,7.43216040e+23,4.99990229e+17,5.96303813e+15
8.31600000e+01,5.21743303e+33,1.28426997e+24,4.99985930e+17,5.96294840e+15
9.70200000e+01,5.21728723e+33,2.03935936e+24,4.99980850e+17,5.96284236e+15
1.10880000e+02,5.21711901e+33,3.04415117e+24,4.99974987e+17,5.96272001e+15
1.24740000e+02,5.21692836e+33,4.33430973e+24,4.99968343e+17,5.96258135e+15
1.38600000e+02,5.21671528e+33,5.94549644e+24,4.99960918e+17,5.96242637e+15
1.52460000e+02,5.21647979e+33,7.91336935e+24,4.99952711e+17,5.96225509e+15
1.66320000e+02,5.21622187e+33,1.02735828e+25,4.99943722e+17,5.96206749e+15
1.80180000e+02,5.21594153e+33,1.30617870e+25,4.99933951e+17,5.96186358e+15
1.94040000e+02,5.21563877e+33,1.63136278e+25,4.99923399e+17,5.96164336e+15
2.07900000e+02,5.21531360e+33,2.00647462e+25,4.99912065e+17,5.96140684e+15
2.21760000e+02,5.21496602e+33,2.43507779e+25,4.99899949e+17,5.96115400e+15
2.35620000e+02,5.21459603e+33,2.92073532e+25,4.99887052e+17,5.96088486e+15
2.49480000e+02,5.21420363e+33,3.46700964e+25,4.99873372e+17,5.96059941e+15
2.63340000e+02,5.21378882e+33,4.07746254e+25,4.99858912e+17,5.96029766e+15
2.77200000e+02,5.21335162e+33,4.75565516e+25,4.99843669e+17,5.95997959e+15
2.91060000e+02,5.21289202e+33,5.50514791e+25,4.99827645e+17,5.95964523e+15
3.04920000e+02,5.21241003e+33,6.32950049e+25,4.99810839e+17,5.95929456e+15
3.18780000e+02,5.21190564e+33,7.23227180e+25,4.99793251e+17,5.95892759e+15
3.32640000e+02,5.21137887e+33,8.21701992e+25,4.99774882e+17,5.95854432e+15
3.46500000e+02,5.21082972e+33,9.28730209e+25,4.99755731e+17,5.95814475e+15
3.60360000e+02,5.21025819e+33,1.04466747e+26,4.99735798e+17,5.95772888e+15
3.74220000e+02,5.20966428e+33,1.16986930e+26,4.99715083e+17,5.95729671e+15
3.88080000e+02,5.20904801e+33,1.30469117e+26,4.99693586e+17,5.95684825e+15
4.01940000e+02,5.20840937e+33,1.44948841e+26,4.99671308e+17,5.95638349e+15
4.15800000e+02,5.20774838e+33,1.60461626e+26,4.99648248e+17,5.95590244e+15
4.29660000e+02,5.20706503e+33,1.77042985e+26,4.99624406e+17,5.95540509e+15
4.43520000e+02,5.20635933e+33,1.94728422e+26,4.99599782e+17,5.95489146e+15
4.57380000e+02,5.20563129e+33,2.13553426e+26,4.99574376e+17,5.95436154e+15
4.71240000e+02,5.20488090e+33,2.33553477e+26,4.99548188e+17,5.95381533e+15
4.85100000e+02,5.20410819e+33,2.54764041e+26,4.99521219e+17,5.95325283e+15
4.98960000e+02,5.20331315e+33,2.77220572e+26,4.99493467e+17,5.95267405e+15
5.12820000e+02,5.20249579e+33,3.00958512e+26,4.99464934e+17,5.95207898e+15
5.26680000e+02,5.20165612e+33,3.26013287e+26,4.99435619e+17,5.95146764e+15
5.40540000e+02,5.20079414e+33,3.52420313e+26,4.99405522e+17,5.95084002e+15
5.54400000e+02,5.19990986e+33,3.80214988e+26,4.99374643e+17,5.95019612e+15
5.68260000e+02,5.19900328e+33,4.09432699e+26,4.99342981e+17,5.94953594e+15
5.82120000e+02,5.19807442e+33,4.40108816e+26,4.99310538e+17,5.94885950e+15
5.95980000e+02,5.19712327e+33,4.72278693e+26,4.99277313e+17,5.94816678e+15
6.09840000e+02,5.19614986e+33,5.05977672e+26,4.99243306e+17,5.94745779e+15
6.23700000e+02,5.19515417e+33,5.41241076e+26,4.99208517e+17,5.94673253e+15
6.37560000e+02,5.19413624e+33,5.78104212e+26,4.99172945e+17,5.94599101e+15
6.51420000e+02,5.19309605e+33,6.16602372e+26,4.99136592e+17,5.94523323e+15
6.65280000e+02,5.19203362e+33,6.56770828e+26,4.99099457e+17,5.94445919e+15
6.79140000e+02,5.19094895e+33,6.98644839e+26,4.99061539e+17,5.94366889e+15
6.93000000e+02,5.18984206e+33,7.42259641e+26,4.99022839e+17,5.94286233e+15
7.06860000e+02,5.18871295e+33,7.87650456e+26,4.98983357e+17,5.94203953e+15
7.20720000e+02,5.18756164e+33,8.34852486e+26,4.98943093e+17,5.94120047e+15
7.34580000e+02,5.18638813e+33,8.83900912e+26,4.98902047e+17,5.94034516e+15
7.48440000e+02,5.18519242e+33,9.34830900e+26,4.98860218e+17,5.93947360e+15
7.62300000e+02,5.18397453e+33,9.87677594e+26,4.98817607e+17,5.93858581e+15
7.76160000e+02,5.18273448e+33,1.04247612e+27,4.98774214e+17,5.93768177e+15
7.90020000e+02,5.18147226e+33,1.09926157e+27,4.98730039e+17,5.93676149e+15
8.03880000e+02,5.18018788e+33,1.15806904e+27,4.98685081e+17,5.93582498e+15
8.17740000e+02,5.17888137e+33,1.21893359e+27,4.98639341e+17,5.93487224e+15
8.31600000e+02,5.17755272e+33,1.28189026e+27,4.98592818e+17,5.93390327e+15
8.45460000e+02,5.17620195e+33,1.34697406e+27,4.98545513e+17,5.93291807e+15
8.59320000e+02,5.17482907e+33,1.41422000e+27,4.98497426e+17,5.93191665e+15
